question,elapsed_time,memory_diff,cpu_util,proc_gpu_memory_used,device_gpu_memory_used,device_gpu_utilization,response_size,token_count
"""Which attack type occurs most frequently in the IoT traffic logs?""",6.370406627655029,321.9140625,0.48564403825801333,750.0,753.5625,0,1458,311
"""What critical threats are identified in the anomaly detection report?""",3.8125622272491455,0.9453125,0.5983508895134735,0.0,0.0,0,1960,388
"""What is the recommended mitigation strategy for SQL Injection attacks?""",2.2736377716064453,6.25,1.0445815202665005,0.0,0.0,-12,1033,196
"""What is the risk associated with a DDoS_HTTP attack?""",2.126758337020874,4.25,0.9403983354317382,0.0,0.0,-25,889,179
"""How many total anomalous traffic samples were analyzed, and what percentage of the total traffic do they represent?""",10.342472791671753,0.5,0.37164709808037105,0.0,0.0,-21,4305,947
"""What is the IP address associated with malicious activity in the threat intelligence report, and what are its associated open ports?""",8.327863693237305,0.25,0.5178398877375947,0.0,0.0,-21,3567,778
"""What is the behavioral signature of a Man-in-the-Middle (MITM) attack?""",3.2331717014312744,2.25,1.014870320233053,0.0,0.0,-21,1461,292
"""Which DNS queries were observed in the DDoS_HTTP traffic?""",3.571402072906494,0.25,0.5862543497646708,0.0,0.0,-16,1646,403
"""What is the recommendation for dealing with a DDoS_UDP attack?""",2.2420668601989746,0.75,0.9477861868095289,0.0,0.0,-17,1013,202
"""What does the threat intelligence summary state about the IP address 26.15.12.1?""",3.1931803226470947,2.0,0.8024914790517467,0.0,0.0,-15,1265,273
"""How many unique IP pairs were observed during the SQL Injection activity?""",2.6537883281707764,0.0,1.0009276066983552,0.0,0.0,-7,1072,222
"""How many total flows were detected in the IoT traffic?""",2.0080809593200684,0.0,1.0893485095046511,0.0,0.0,-19,795,149
"""What is the breakdown of flows by protocol?""",6.420619249343872,1.5,0.301762170400931,0.0,0.0,-12,2612,582
"""Which IP address is the top talker, and how many flows is it associated with?""",4.477964639663696,-0.49609375,0.9421132901837387,0.0,0.0,-12,1623,345
"""What is the MAC address and vendor of the source and destination for Flow ID TCP_0?""",3.6354358196258545,1.5,0.885382154905231,0.0,0.0,-20,1688,326
"""What is the duration and number of packets for Flow ID TCP_0?""",4.058528423309326,0.25,0.6159868157240848,0.0,0.0,-20,2114,413
"""What is the protocol and port information for Flow ID UDP_0?""",7.499186038970947,0.25,0.34170375113825446,0.0,0.0,-20,4072,861
"""What is the TCP Flag Pattern for Flow ID TCP_1?""",2.410823345184326,0.25,0.9073663586216582,0.0,0.0,-26,998,210
