question,elapsed_time,memory_diff,cpu_util,proc_gpu_memory_used,device_gpu_memory_used,device_gpu_utilization,response_size,token_count
"""How many total traffic samples were analyzed, and what percentage of the traffic was classified as anomalous?""",2.9110989570617676,2.25,0.02146955528543118,0.0,0.0,-1,1072,205
"""What is the most prevalent anomalous traffic type, and what is its severity level?""",5.14948582649231,0.0,0.02427426819138251,0.0,0.0,1,2175,426
"""What is the recommended mitigation strategy for Ransomware attacks?""",5.653844118118286,0.0,0.022108851497945253,0.0,0.0,-22,2802,477
"""What is the behavioral signature of a Man-in-the-Middle (MITM) attack?""",5.827815532684326,0.0,0.0268110751144576,0.0,0.0,-32,2820,505
"""What are the unique IP pairs, DNS queries, and Modbus Unit IDs observed during a DDoS_TCP attack?""",3.3837356567382812,0.0,0.027706064985691538,0.0,0.0,-25,1362,254
"""What is the risk associated with an 'Uploading' attack?""",5.220763206481934,0.0,0.02394285951234128,0.0,0.0,-28,2542,442
"""How many samples of 'Password' attacks were detected, and what is the associated risk?""",2.9113926887512207,0.0,0.021467389212547483,0.0,0.0,-31,1131,202
"""What is the recommended mitigation for 'Vul Scanner' activity?""",6.781481504440308,0.0,0.018432550456438043,0.0,0.0,-6,3298,611
"""What is the severity and behavioral signature of a 'Backdoor' attack?""",6.0389745235443115,0.0,0.041397757024031825,0.0,0.0,-27,2926,512
"""What is the risk and recommended mitigation for a DDoS_HTTP attack?""",5.903806209564209,0.0,0.026465977109286713,0.0,-0.625,-6,2760,503
"""What is the total number of flows detected, and how are they distributed between TCP and UDP?""",2.795438528060913,0.0,0.022357851683239297,0.0,0.0,1,1032,199
"""Which IP address is the top talker in the traffic, and what is its associated destination?""",2.004769802093506,0.0,0.03117564916168044,0.0,0.0,-28,401,97
"""What is the application summary for Flow ID TCP_0?""",2.506561517715454,0.0,0.024934556586097237,0.0,0.0,-23,751,179
"""What is the duration and number of packets for Flow ID UDP_0?""",1.4646146297454834,0.0,0.04267334132177052,0.0,0.0,-24,309,60
"""What is the average TTL for Flow ID UDP_0?""",1.4189989566802979,0.0,0.02202256728441383,0.0,0.0,-9,307,57
"""What are the MAC address and vendor of the devices involved in Flow ID TCP_0?""",1.9516277313232422,0.0,0.04803682510518499,0.0,0.0,-11,413,114
"""What is the total number of bytes exchanged for Flow ID TCP_0?""",2.440675735473633,0.0,0.025607662292701096,0.0,0.0,-2,820,154
"""What is the TCP Flag Pattern for Flow ID TCP_0?""",1.9294137954711914,0.0,0.03239325858802375,0.0,0.0,-19,561,107
"""What is the App Payload Size for Flow ID TCP_1?""",2.4670231342315674,0.0,0.038001265046585735,0.0,0.0,-28,878,161
"""What are the source and destination ports for Flow ID TCP_0?""",2.4292054176330566,0.0,0.025728577561344262,0.0,0.0,-25,651,145
