question,elapsed_time,memory_diff,cpu_util,proc_gpu_memory_used,device_gpu_memory_used,device_gpu_utilization,response_size,token_count
"""How many total traffic samples were analyzed, and what percentage of the traffic was classified as anomalous?""",3.076245069503784,2.0,0.020316976894848068,0.0,0.0,0,536,105
"""What is the most prevalent anomalous traffic type, and what is its severity level?""",1.5196001529693604,0.0,0.061693860596692005,0.0,0.0,0,1423,261
"""What is the recommended mitigation strategy for Ransomware attacks?""",2.022439479827881,0.0,0.030903273310960936,0.0,0.0,0,2123,369
"""What is the behavioral signature of a Man-in-the-Middle (MITM) attack?""",1.574720859527588,0.0,0.019844786973470207,0.0,0.0,0,1554,267
"""What are the unique IP pairs, DNS queries, and Modbus Unit IDs observed during a DDoS_TCP attack?""",0.9634735584259033,0.0,0.12973890036403168,0.0,0.0,0,464,133
"""What is the risk associated with an 'Uploading' attack?""",1.6768672466278076,0.0,0.14908753242258535,0.0,0.0,0,1607,316
"""How many samples of 'Password' attacks were detected, and what is the associated risk?""",0.7967822551727295,0.0,0.078440501899041,0.0,0.0,0,527,89
"""What is the recommended mitigation for 'Vul Scanner' activity?""",1.5963809490203857,0.0,0.05872658406349247,0.0,0.0,0,1661,270
"""What is the severity and behavioral signature of a 'Backdoor' attack?""",1.7273027896881104,0.0,0.036183580767147346,0.0,0.0,0,1796,298
"""What is the risk and recommended mitigation for a DDoS_HTTP attack?""",1.880737066268921,0.0,0.049847478247444996,0.0,0.0,0,1877,341
"""What is the total number of flows detected, and how are they distributed between TCP and UDP?""",2.5095558166503906,0.0,0.11207162563747863,0.0,0.0,0,2839,488
"""Which IP address is the top talker in the traffic, and what is its associated destination?""",1.1746630668640137,0.0,0.026603373240823514,0.0,0.0,0,830,166
"""What is the application summary for Flow ID TCP_0?""",2.896665573120117,0.0,0.04315306577326627,0.0,0.0,0,2548,636
"""What is the duration and number of packets for Flow ID UDP_0?""",0.8017759323120117,0.0,0.03897597662963126,0.0,0.0,0,371,92
"""What is the average TTL for Flow ID UDP_0?""",0.7564926147460938,0.0,0.04130906157027523,0.0,0.0,0,435,83
"""What are the MAC address and vendor of the devices involved in Flow ID TCP_0?""",2.6036856174468994,0.0,0.03600665125305418,0.0,0.0,0,2427,547
"""What is the total number of bytes exchanged for Flow ID TCP_0?""",2.450927972793579,0.0,0.06375136345679577,0.0,0.0,0,2333,473
"""What is the TCP Flag Pattern for Flow ID TCP_0?""",1.596820592880249,0.0,0.0391402767967039,0.0,0.0,0,1215,296
"""What is the App Payload Size for Flow ID TCP_1?""",0.963576078414917,0.0,0.03243127418793039,0.0,0.0,0,563,145
"""What are the source and destination ports for Flow ID TCP_0?""",0.6860384941101074,0.0,0.2277568989808384,0.0,0.0,0,323,66
"""What is the duration and total number of packets for the TCP connection with UID 'CczSu14KDCWOJpCK4'?""",1.2470958232879639,0.0,0.025058218796382755,0.0,0.0,0,931,195
"""What is the DNS query and rejection status for the traffic between 192.168.3.12 and 192.168.3.1 on port 53?""",1.127406120300293,0.0,0.055436988388311514,0.0,0.0,0,896,170
"""What is the MQTT protocol version and connection status for the connection with UID 'CczSu14KDCWOJpCK4'?""",1.222987174987793,0.0,0.05110437891601153,0.0,0.0,0,1004,195
"""What is the payload of the message published on the 'Heart_Rate' topic with UID 'CJpUi93XwcALEV92He'?""",0.7108244895935059,0.0,0.08792606461230845,0.0,0.0,0,400,75
"""What is the Quality of Service (QoS) for the MQTT published messages?""",1.6168770790100098,0.0,0.038654762821103014,0.0,0.0,0,1412,283
"""What is the total number of original and response bytes for the TCP connection with UID 'Cfjywu4xTjwioQyod4'?""",1.1603364944458008,0.0,0.053863685490517885,0.0,0.0,0,899,168
"""What is the DNS query type for the request regarding '1.debian.pool.ntp.org'?""",1.1292204856872559,0.0,0.027673957739948983,0.0,0.0,0,844,177
"""What is the MQTT topic name and payload length for the message with UID 'CwCN0KeqJKzKrrvwd'?""",1.4657378196716309,0.0,0.06396096132730972,0.0,0.0,0,824,251
"""What is the connection state history for the TCP flow with UID 'CAky7oXUlFHkjO2Lj'?""",4.411906719207764,0.0,0.03541552665194601,0.0,0.0,0,5253,1575
"""What are the source and destination IP addresses and ports for the first DNS query listed?""",0.798027515411377,0.0,0.039159050780203555,0.0,0.0,0,425,88
"""What is the client ID and protocol version for the MQTT connections?""",1.5685560703277588,0.0,0.019922781589487598,0.0,0.0,0,1046,251
"""What is the behavioral signature of a 'Credential Stuffing' attack?""",2.315657138824463,0.0,0.026990178706562156,0.0,0.0,0,2523,448
"""What is the total number of packets sent by the originator and responder for a `SF` connection state with UID `CczSu14KDCWOJpCK4`?""",2.0994467735290527,0.0,0.029769747339176773,0.0,0.0,0,1858,404
"""What is the total number of DNS queries observed in the traffic?""",0.732996940612793,0.0,0.21316596474381533,0.0,0.0,0,480,80
"""What is the MQTT topic and payload length for the message with UID `CwCN0KeqJKzKrrvwd`?""",0.821152925491333,0.0,0.07611249751389607,0.0,0.0,0,495,97
"""What is the risk associated with a 'Password' attack?""",1.4330193996429443,0.0,0.13084261109565246,0.0,1.875,0,1338,236
"""What is the duration and total bytes for the TCP flow between 192.168.3.12 and 192.168.3.18?""",2.273831605911255,0.0,0.0412299660873227,0.0,-1.75,0,2211,425
"""What is the behavioral signature and severity of a 'Vul Scanner' attack?""",1.1272563934326172,0.0,0.08316652763842368,0.0,0.0,0,916,167
"""What is the `conn_state` and history for the MQTT connection with UID `Cfjywu4xTjwioQyod4`?""",1.6688969135284424,0.0,0.16852448927200764,0.0,0.0,0,1448,398
"""How many flows were observed between 192.168.3.1 and 192.168.3.12, and what is the associated MAC vendor for the devices?""",2.3584187030792236,0.0,0.039751211215209865,0.0,0.0,0,2432,440
