question,elapsed_time,memory_diff,cpu_util,proc_gpu_memory_used,device_gpu_memory_used,device_gpu_utilization,response_size,token_count
"""How many total traffic samples were analyzed, and what percentage of the traffic was classified as anomalous?""",29.218424320220947,2.0,0.028877327221785598,0.0,938.0625,0,11893,2992
"""What is the most prevalent anomalous traffic type, and what is its severity level?""",39.39995288848877,1.0,0.02617388916475835,0.0,0.0,0,19611,4696
"""What is the recommended mitigation strategy for Ransomware attacks?""",9.731965065002441,0.0,0.028899610522793117,0.0,0.0,-7,6555,1182
"""What is the behavioral signature of a Man-in-the-Middle (MITM) attack?""",15.61267638206482,0.0,0.03002368002314368,0.0,0.0,-7,9576,1944
"""What are the unique IP pairs, DNS queries, and Modbus Unit IDs observed during a DDoS_TCP attack?""",8.763116359710693,0.0,0.03922691265180768,0.0,0.0,-10,4168,1032
"""What is the risk associated with an 'Uploading' attack?""",10.061956405639648,0.0,0.027951820566660488,0.0,0.0,-7,6131,1261
"""How many samples of 'Password' attacks were detected, and what is the associated risk?""",4.389795780181885,0.0,0.04271269311581215,0.0,0.0,-12,2577,471
"""What is the recommended mitigation for 'Vul Scanner' activity?""",9.975192546844482,0.0,0.028194944476432105,0.0,0.1875,-9,6245,1186
"""What is the severity and behavioral signature of a 'Backdoor' attack?""",11.484244585037231,0.0,0.029932312696289008,0.0,0.0,-25,7314,1468
"""What is the risk and recommended mitigation for a DDoS_HTTP attack?""",10.546367406845093,0.0,0.02370484455507712,0.0,0.0,-28,6372,1368
"""What is the total number of flows detected, and how are they distributed between TCP and UDP?""",50.98347067832947,0.0,0.025130693986759045,0.0,-2.9375,-22,17358,6339
"""Which IP address is the top talker in the traffic, and what is its associated destination?""",9.555544376373291,0.0,0.029433173969178418,0.0,0.0,-27,3855,911
"""What is the application summary for Flow ID TCP_0?""",15.580412149429321,0.0,0.026074406511440593,0.0,0.0,-21,8430,1875
"""What is the duration and number of packets for Flow ID UDP_0?""",32.738154888153076,0.0,0.0267272240292512,0.0,0.0,-28,12188,3107
"""What is the average TTL for Flow ID UDP_0?""",7.355215787887573,0.0,0.029740799768272486,0.0,0.0,-23,3918,797
"""What are the MAC address and vendor of the devices involved in Flow ID TCP_0?""",26.93266248703003,0.0,0.03364873415082599,0.0,0.0,-16,12821,3188
"""What is the total number of bytes exchanged for Flow ID TCP_0?""",16.724790334701538,0.0,0.026158773368432132,0.0,0.0,-21,8179,1878
"""What is the TCP Flag Pattern for Flow ID TCP_0?""",35.39506959915161,0.0,0.028252522493244933,0.0,0.0,-28,13569,3715
"""What is the App Payload Size for Flow ID TCP_1?""",8.815874576568604,0.0,0.0283579352029872,0.0,0.125,-28,4785,1050
"""What are the source and destination ports for Flow ID TCP_0?""",14.43243956565857,0.0,0.036809438735782615,0.0,0.0,-22,6521,1639
"""What is the duration and total number of packets for the TCP connection with UID 'CczSu14KDCWOJpCK4'?""",34.00828313827515,0.0,0.025729025968241878,0.0,0.0,-21,14411,3500
"""What is the DNS query and rejection status for the traffic between 192.168.3.12 and 192.168.3.1 on port 53?""",5.977794885635376,0.0,0.041821441649119655,0.0,0.0,-7,2499,574
"""What is the MQTT protocol version and connection status for the connection with UID 'CczSu14KDCWOJpCK4'?""",17.530402898788452,0.0,0.024956642612602928,0.0,0.1875,-21,8252,1970
"""What is the payload of the message published on the 'Heart_Rate' topic with UID 'CJpUi93XwcALEV92He'?""",9.614513158798218,0.0,0.026002356632195293,0.0,0.0,-23,5253,1148
"""What is the Quality of Service (QoS) for the MQTT published messages?""",37.096285343170166,0.0,0.02695687696892573,0.0,2.0,-23,16626,4106
"""What is the total number of original and response bytes for the TCP connection with UID 'Cfjywu4xTjwioQyod4'?""",14.73121452331543,0.0,0.025456149552806454,0.0,0.0,-7,8178,1711
"""What is the DNS query type for the request regarding '1.debian.pool.ntp.org'?""",5.023648262023926,0.0,0.024882315297615476,0.0,0.0,-25,2553,547
"""What is the MQTT topic name and payload length for the message with UID 'CwCN0KeqJKzKrrvwd'?""",15.863525390625,0.0,0.02757898948858838,0.0,0.0,-21,7575,1809
"""What is the connection state history for the TCP flow with UID 'CAky7oXUlFHkjO2Lj'?""",31.081305027008057,0.0,0.027146543533703372,0.0,4211.5625,-15,14903,3576
"""What are the source and destination IP addresses and ports for the first DNS query listed?""",4.732275485992432,0.0,0.033017942523103784,0.0,0.0,-28,2112,483
"""What is the client ID and protocol version for the MQTT connections?""",17.51363706588745,0.0,0.041039448133817415,0.0,0.0,-28,10136,2113
"""What is the behavioral signature of a 'Credential Stuffing' attack?""",13.962493181228638,0.0,0.029095806510126266,0.0,0.0,-23,9377,1745
"""What is the total number of packets sent by the originator and responder for a `SF` connection state with UID `CczSu14KDCWOJpCK4`?""",25.671513557434082,0.0,0.02921526221358286,0.0,0.0,-16,14275,3046
"""What is the total number of DNS queries observed in the traffic?""",3.6256637573242188,0.0,0.034476445794920804,0.0,0.0,-28,1709,388
