question,elapsed_time,memory_diff,cpu_util,proc_gpu_memory_used,device_gpu_memory_used,device_gpu_utilization,response_size,token_count
"""How many total traffic samples were analyzed, and what percentage of the traffic was classified as anomalous?""",11.900918960571289,279.50390625,2.3107459256810103,638.0,641.5625,0,98,24
"""What is the most prevalent anomalous traffic type, and what is its severity level?""",7.453299283981323,2.515625,3.039761203295959,0.0,0.0,0,25,6
"""What is the recommended mitigation strategy for Ransomware attacks?""",5.3404505252838135,2.7265625,2.8789705900670084,0.0,0.0,0,139,23
"""What is the behavioral signature of a Man-in-the-Middle (MITM) attack?""",5.179744005203247,1.4765625,2.87176354373064,0.0,0.0,0,97,23
"""What are the unique IP pairs, DNS queries, and Modbus Unit IDs observed during a DDoS_TCP attack?""",10.087950706481934,-1.58984375,2.7043401374345173,0.0,0.0,0,234,90
"""What is the risk associated with an 'Uploading' attack?""",5.028167724609375,1.90234375,2.9023992037047117,0.0,0.0,0,103,19
"""How many samples of 'Password' attacks were detected, and what is the associated risk?""",7.689390420913696,0.20703125,2.9139175894956737,0.0,0.0,0,183,32
"""What is the recommended mitigation for 'Vul Scanner' activity?""",4.8436362743377686,1.3515625,2.89684220806163,0.0,0.0,0,124,20
"""What is the severity and behavioral signature of a 'Backdoor' attack?""",6.136003732681274,-0.921875,2.897855147201817,0.0,0.0,0,152,30
"""What is the risk and recommended mitigation for a DDoS_HTTP attack?""",6.044718027114868,-1.48828125,2.7813538902201866,0.0,0.0,0,260,54
"""What is the total number of flows detected, and how are they distributed between TCP and UDP?""",8.668819904327393,0.25,2.9704158448540237,0.0,0.125,0,158,25
"""Which IP address is the top talker in the traffic, and what is its associated destination?""",7.850406646728516,0.33984375,2.9457072786970606,0.0,-0.0625,0,39,18
"""What is the application summary for Flow ID TCP_0?""",5.228054523468018,0.99609375,2.905000307824909,0.0,0.0,0,101,19
"""What is the duration and number of packets for Flow ID UDP_0?""",5.893564701080322,0.53515625,2.9640380459041866,0.0,0.0,0,77,14
"""What is the average TTL for Flow ID UDP_0?""",5.145098924636841,-0.96875,2.9700595117476007,0.0,0.0,0,9,5
"""What are the MAC address and vendor of the devices involved in Flow ID TCP_0?""",7.379960536956787,-0.08984375,2.9598735508967184,0.0,0.0,0,108,18
