question,elapsed_time,memory_diff,cpu_util,proc_gpu_memory_used,device_gpu_memory_used,device_gpu_utilization,response_size,token_count
"""How many total traffic samples were analyzed, and what percentage of the traffic was classified as anomalous?""",11.27242136001587,280.53515625,2.4035430485329075,638.0,7506.6875,64,111,24
"""What is the most prevalent anomalous traffic type, and what is its severity level?""",7.82400369644165,1.359375,2.9596420066278126,0.0,2.0,68,144,28
"""What is the recommended mitigation strategy for Ransomware attacks?""",5.355803489685059,1.9921875,2.847378554752905,0.0,6.0,46,226,33
"""What is the behavioral signature of a Man-in-the-Middle (MITM) attack?""",5.875356912612915,1.59375,2.5158046089537747,0.0,0.0,44,747,112
"""What are the unique IP pairs, DNS queries, and Modbus Unit IDs observed during a DDoS_TCP attack?""",9.80667757987976,-0.58984375,2.7978384908149896,0.0,16.0,46,258,77
"""What is the risk associated with an 'Uploading' attack?""",4.956180810928345,4.453125,2.8562819921310316,0.0,2.0,71,167,29
"""How many samples of 'Password' attacks were detected, and what is the associated risk?""",7.7403669357299805,0.65234375,2.918950766494792,0.0,0.0,46,232,38
"""What is the recommended mitigation for 'Vul Scanner' activity?""",4.871655225753784,3.1953125,2.8481079544895613,0.0,0.0,42,189,30
"""What is the severity and behavioral signature of a 'Backdoor' attack?""",6.124201059341431,0.0,2.9034399471385193,0.0,0.0,45,148,26
"""What is the risk and recommended mitigation for a DDoS_HTTP attack?""",5.9480016231536865,0.94140625,2.7477716106160637,0.0,0.0,51,276,55
"""What is the total number of flows detected, and how are they distributed between TCP and UDP?""",9.712450742721558,0.2109375,2.6994988900868453,0.0,0.0,46,537,123
"""Which IP address is the top talker in the traffic, and what is its associated destination?""",8.101929187774658,0.5859375,2.923686377775691,0.0,0.0,51,103,28
"""What is the application summary for Flow ID TCP_0?""",6.268109560012817,1.17578125,2.4379360082482027,0.0,0.0,43,698,145
"""What is the duration and number of packets for Flow ID UDP_0?""",7.192690372467041,0.546875,2.537298153394644,0.0,0.0,59,800,139
