question,elapsed_time,memory_diff,cpu_util,proc_gpu_memory_used,device_gpu_memory_used,device_gpu_utilization,response_size,token_count
"""What is the total number of traffic samples analyzed, and what percentage of that traffic was considered anomalous?""",14.72801947593689,2.0,0.033948895899881315,0.0,0.0,0,8527,1732
"""What is the dominant detected attack in the traffic, and what percentage of the traffic does it represent?""",20.54362154006958,0.0,0.025859608003575302,0.0,0.0,1,11194,2435
"""What are the behavioral characteristics of a Man-in-the-Middle (MITM) attack, and what is its severity level?""",10.316879272460938,0.0,0.02726115064181671,0.0,0.0,-4,6450,1262
"""What is the recommended mitigation strategy for a SQL Injection attack?""",11.155486345291138,0.0,0.025211809803229106,0.0,0.0,-28,7235,1426
"""How many unique IP pairs were observed during a DDoS_HTTP attack?""",16.25210976600647,0.0,0.055761991092107305,0.0,0.0,-19,6878,1622
"""What is the risk associated with a 'Password' attack?""",8.002664804458618,0.0,0.03123959407380337,0.0,0.0,-9,4990,1057
"""What is the severity of a 'Backdoor' attack, and what is its behavioral signature?""",9.931219100952148,0.0,0.028319786034429598,0.0,0.0,-7,6360,1215
"""What is the threat intelligence summary for IP 194.0.5.123 as described in the report?""",3.6090011596679688,0.0,0.03463562201002534,0.0,0.0,-26,1440,315
"""What is the behavioral signature of a 'Vul Scanner' attack?""",13.735773801803589,0.0,0.03640129833343222,0.0,0.0,-26,8609,1776
"""How many samples were classified as 'Ransomware' and what is its associated risk?""",4.4069812297821045,0.0,0.02127306541866956,0.0,1.875,-7,2425,451
"""What is the total number of flows detected, and how are they distributed between TCP and UDP?""",21.808817863464355,0.0,0.02579231958016162,0.0,0.0,-21,10293,2641
"""Which IP address is the top talker in the traffic?""",35.11500883102417,0.0,0.026697985596737753,0.0,0.0,-7,15237,3633
"""What is the application summary for Flow ID TCP_1?""",11.355721712112427,0.0,0.03027108348678023,0.0,0.0,-24,5341,1237
"""What is the total number of bytes exchanged for Flow ID TCP_0?""",35.8924298286438,0.0,0.026119713947363753,0.0,0.0,-7,17988,3890
"""What is the duration of Flow ID TCP_1?""",39.512038707733154,0.0,0.02451784397068825,0.0,0.1875,-21,15951,4195
"""What is the TCP Flag Pattern for Flow ID TCP_3?""",30.26361608505249,0.0,0.027880012673592417,0.0,0.0,-13,15237,3676
"""What is the IP version for Flow ID TCP_2?""",15.318143129348755,0.0,0.024480773996785738,0.0,-1.75,-28,6745,1986
"""What are the source and destination ports for Flow ID TCP_1?""",10.89913535118103,0.0,0.022937599354880548,0.0,0.0,-25,5409,1193
"""What is the average TTL for a connection in the traffic?""",6.961974620819092,0.0,0.04039802144049038,0.0,-0.375,-21,3244,736
