question,elapsed_time,memory_diff,cpu_util,proc_gpu_memory_used,device_gpu_memory_used,device_gpu_utilization,response_size,token_count
"""What is the total number of traffic samples analyzed, and what percentage of that traffic was considered anomalous?""",5.446537017822266,315.7265625,1.4401352592176497,710.0,713.5625,0,399,84
"""What is the dominant detected attack in the traffic, and what percentage of the traffic does it represent?""",2.8922739028930664,1.515625,2.7984037030185944,0.0,0.0,3,178,31
"""What are the behavioral characteristics of a Man-in-the-Middle (MITM) attack, and what is its severity level?""",2.4237210750579834,2.0,2.6044663575197005,0.0,0.0,-26,366,57
"""What is the recommended mitigation strategy for a SQL Injection attack?""",1.6708250045776367,1.5,2.749390263740539,0.0,0.0,-26,112,22
"""How many unique IP pairs were observed during a DDoS_HTTP attack?""",1.619642734527588,0.25,2.855568022134829,0.0,0.0,-8,1,1
"""What is the risk associated with a 'Password' attack?""",1.7744078636169434,0.25,2.747395398746048,0.0,0.0,-21,122,19
"""What is the severity of a 'Backdoor' attack, and what is its behavioral signature?""",2.2898142337799072,0.0,2.497473338944089,0.0,0.0,-11,405,62
"""What is the threat intelligence summary for IP 194.0.5.123 as described in the report?""",2.3520283699035645,0.0,2.2852615507441296,0.0,0.25,-26,465,87
"""What is the behavioral signature of a 'Vul Scanner' attack?""",1.5345368385314941,0.0,2.6270141574820602,0.0,-0.0625,-5,112,28
"""How many samples were classified as 'Ransomware' and what is its associated risk?""",2.3556711673736572,-2.31640625,2.7725643928824297,0.0,0.0,-26,153,26
"""What is the total number of flows detected, and how are they distributed between TCP and UDP?""",3.7942116260528564,0.0,1.7625532413849763,0.0,0.0,-9,1689,301
"""Which IP address is the top talker in the traffic?""",1.4886627197265625,1.75,2.749951312512177,0.0,0.0,-21,13,7
"""What is the application summary for Flow ID TCP_1?""",3.261737823486328,0.0,1.2263401341449809,0.0,0.0,-14,2237,366
"""What is the total number of bytes exchanged for Flow ID TCP_0?""",2.530575752258301,3.0,1.9387880388965373,0.0,0.0,-21,711,127
"""What is the duration of Flow ID TCP_1?""",3.9446909427642822,1.25,0.895190536150203,0.0,0.0,2,2018,478
"""What is the TCP Flag Pattern for Flow ID TCP_3?""",1.4616198539733887,3.25,2.843591641630551,0.0,0.0,-25,22,8
"""What is the IP version for Flow ID TCP_2?""",2.484637498855591,3.0,1.5721609296322596,0.0,0.0,-30,1073,189
"""What are the source and destination ports for Flow ID TCP_1?""",2.040515899658203,0.0,2.37378694319968,0.0,0.0,-22,417,69
